"Categories","Categories"
"Keywords","Keywords"
"Search entire store here...","Search entire store here..."
"Search results for %s","Search results for %s"
"Search results for %s instead","Search results for %s instead"
"View all search results for %s","View all search results for %s"
"Brands","Brands"
"products","products"
"product","product"
"Search","Search"
