"LookBook Slider","LookBook слайдер"
"Set No if you exactly know that slider's JS were included already before slider output.","Если ДА, необходимые джаваскрипты будут подключены непосредственно перед выводом слайдера. Установите НЕТ, если Вы уверенны, что необходимые для слайдера джаваскрипты уже подключены ранее."
"Not applicable for the sliders are inserted as a widget.","Не применяется к слайдерам вставленным как виджет."
"Enable Jquery (frontend)","Подключить Jquery (во фронтенде)"
"Transition effect","Эффект смены слайдов"
"You can use more than one effect or leave empty to use the random effect.","Вы можете выбрать более одного эффекта или не выбрать ни одного, чтобы использовать случайный еффект."
"Show navigation","Показывать кнопки навигации"
"If YES the navigation button (prev, next and play/stop buttons) will be visible, if NO they will be always hidden","Если ДА, кнопки навигации будут показаны. Если НЕТ, они всегда будут спрятаны."
"Navigation on hover state only","Навигация при наведении указателя мыши"
"If YES the navigation button (prev, next and play/stop buttons) will be visible on hover state only, if NO they will be visible always","Если ДА, кнопки навигации будут показаны только при наведении указателя мыши. Если НЕТ, они будут видны всегда."
"Show thumbnails","Показывать миниатюры"
"If YES the thumbnails will be visible, if NO will show the pagination","Если ДА будут вместо паджинации будут показаны миниатюры"
"Pause","Пауза"
"Milliseconds between the end of the sliding effect and the start of the nex one","Пауза между сменой слайдов"
"Transition duration","Длительность анимации"
"Length of the sliding effect in milliseconds","Длительность анимации в милисекундах."
"Show Slide Caption","Показывать надписи слайдов"
"If YES will show slide caption at the slider bottom","Если ДА, внизу слайдов будут показаны их надписи."
"Show Add to Cart button in hotspot popup","Показывать кнопку добавления в корзину в попапе"
"Show product description and thumbnail in hotspot popup","Показывать описание и изображение товара в попапе"
